Word/Phrase,Meaning,Usage in Sentence
Yasama,Constitution,Yasama kavramı modern siyaset biliminin temelini oluşturur.
Yürütme,Opposition,Yürütme üzerine yoğun tartışmalar yaşanmaktadır.
Yargı,Representative democracy,"Yargı perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Propaganda,Economic policy,Bir toplumun Propaganda ilkelerine bağlı olması önemlidir.
Bürokrasi,Popular sovereignty,"Bürokrasi, günümüz siyasetinde bir dönüm noktasıdır."
Ekonomi politikası,Ruling party,Ekonomi politikası üzerine yoğun tartışmalar yaşanmaktadır.
Yerel yönetim,Election,Yerel yönetim konusunda yapılan reformlar geniş yankı uyandırdı.
Ulusal güvenlik,International relations,Ulusal güvenlik üzerine yoğun tartışmalar yaşanmaktadır.
Anayasa değişikliği,Opposition,"Anayasa değişikliği, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Parlamento sistemi,Reform,"Parlamento sistemi perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Siyasi kriz,Sovereignty,"Siyasi kriz, günümüz siyasetinde bir dönüm noktasıdır."
Parti disiplini,Civil society,Bir toplumun Parti disiplini ilkelerine bağlı olması önemlidir.
Ulusal çıkarlar,Executive,"Ulusal çıkarlar, günümüz siyasetinde bir dönüm noktasıdır."
Kamuoyu,Election,Kamuoyu konusunda yapılan reformlar geniş yankı uyandırdı.
Devlet politikası,Bureaucracy,Devlet politikası üzerine yoğun tartışmalar yaşanmaktadır.
Sivil toplum,Popular sovereignty,Sivil toplum kavramı modern siyaset biliminin temelini oluşturur.
Yolsuzluk,Bureaucracy,Bir toplumun Yolsuzluk ilkelerine bağlı olması önemlidir.
Çoğulculuk,Coalition,Çoğulculuk üzerine yoğun tartışmalar yaşanmaktadır.
Temsili demokrasi,Politics,"Temsili demokrasi, günümüz siyasetinde bir dönüm noktasıdır."
Egemenlik,Parliament,"Egemenlik perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Bağımsızlık,Constitution,"Bağımsızlık perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Demokrasi,Sovereignty,"Demokrasi, günümüz siyasetinde bir dönüm noktasıdır."
Hukukun üstünlüğü,Legislation,"Hukukun üstünlüğü, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
İnsan hakları,Representative democracy,"İnsan hakları, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Anayasa,Human rights,Anayasa konusunda yapılan reformlar geniş yankı uyandırdı.
Özgürlük,Executive,Özgürlük konusunda yapılan reformlar geniş yankı uyandırdı.
Siyaset,Pluralism,"Siyaset, günümüz siyasetinde bir dönüm noktasıdır."
Diplomasi,Coalition,"Diplomasi, demokrasinin işleyişinde kritik bir rol oynar."
Uluslararası ilişkiler,International relations,"Uluslararası ilişkiler, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Meclis,Rule of law,Meclis konusunda yapılan reformlar geniş yankı uyandırdı.
Reform,Coalition,"Reform perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Muhalefet,Corruption,"Muhalefet, günümüz siyasetinde bir dönüm noktasıdır."
İktidar,Bureaucracy,"İktidar perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Seçim,Human rights,"Seçim, demokrasinin işleyişinde kritik bir rol oynar."
Koalisyon,Legislation,Koalisyon üzerine yoğun tartışmalar yaşanmaktadır.
Halk egemenliği,Executive,Bir toplumun Halk egemenliği ilkelerine bağlı olması önemlidir.
Yasama,Bureaucracy,"Yasama perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yürütme,State policy,Bir toplumun Yürütme ilkelerine bağlı olması önemlidir.
Yargı,Judiciary,"Yargı, demokrasinin işleyişinde kritik bir rol oynar."
Propaganda,Opposition,"Propaganda perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Bürokrasi,Judiciary,Bürokrasi üzerine yoğun tartışmalar yaşanmaktadır.
Ekonomi politikası,Coalition,Ekonomi politikası konusunda yapılan reformlar geniş yankı uyandırdı.
Yerel yönetim,State policy,"Yerel yönetim, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Ulusal güvenlik,Opposition,Ulusal güvenlik üzerine yoğun tartışmalar yaşanmaktadır.
Anayasa değişikliği,Reform,Anayasa değişikliği kavramı modern siyaset biliminin temelini oluşturur.
Parlamento sistemi,Public opinion,"Parlamento sistemi, günümüz siyasetinde bir dönüm noktasıdır."
Siyasi kriz,Reform,"Siyasi kriz perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Parti disiplini,Legislation,"Parti disiplini, demokrasinin işleyişinde kritik bir rol oynar."
Ulusal çıkarlar,Parliament,"Ulusal çıkarlar perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Kamuoyu,Independence,"Kamuoyu, demokrasinin işleyişinde kritik bir rol oynar."
Devlet politikası,Democracy,"Devlet politikası, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Sivil toplum,State policy,Sivil toplum üzerine yoğun tartışmalar yaşanmaktadır.
Yolsuzluk,Representative democracy,"Yolsuzluk, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Çoğulculuk,Corruption,Çoğulculuk kavramı modern siyaset biliminin temelini oluşturur.
Temsili demokrasi,Party discipline,Temsili demokrasi kavramı modern siyaset biliminin temelini oluşturur.
Egemenlik,Propaganda,"Egemenlik, günümüz siyasetinde bir dönüm noktasıdır."
Bağımsızlık,Pluralism,"Bağımsızlık, günümüz siyasetinde bir dönüm noktasıdır."
Demokrasi,Politics,Demokrasi üzerine yoğun tartışmalar yaşanmaktadır.
Hukukun üstünlüğü,Politics,Hukukun üstünlüğü kavramı modern siyaset biliminin temelini oluşturur.
İnsan hakları,Party discipline,"İnsan hakları, günümüz siyasetinde bir dönüm noktasıdır."
Anayasa,Civil society,"Anayasa, günümüz siyasetinde bir dönüm noktasıdır."
Özgürlük,State policy,Özgürlük üzerine yoğun tartışmalar yaşanmaktadır.
Siyaset,Freedom,"Siyaset perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Diplomasi,Economic policy,"Diplomasi, demokrasinin işleyişinde kritik bir rol oynar."
Uluslararası ilişkiler,Reform,"Uluslararası ilişkiler, demokrasinin işleyişinde kritik bir rol oynar."
Meclis,Democracy,Bir toplumun Meclis ilkelerine bağlı olması önemlidir.
Reform,Popular sovereignty,"Reform, demokrasinin işleyişinde kritik bir rol oynar."
Muhalefet,Pluralism,"Muhalefet, demokrasinin işleyişinde kritik bir rol oynar."
İktidar,Legislation,İktidar üzerine yoğun tartışmalar yaşanmaktadır.
Seçim,Parliamentary system,Bir toplumun Seçim ilkelerine bağlı olması önemlidir.
Koalisyon,Political crisis,Koalisyon üzerine yoğun tartışmalar yaşanmaktadır.
Halk egemenliği,Coalition,Bir toplumun Halk egemenliği ilkelerine bağlı olması önemlidir.
Yasama,Reform,Yasama kavramı modern siyaset biliminin temelini oluşturur.
Yürütme,Political crisis,Bir toplumun Yürütme ilkelerine bağlı olması önemlidir.
Yargı,Rule of law,"Yargı, demokrasinin işleyişinde kritik bir rol oynar."
Propaganda,Freedom,"Propaganda perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Bürokrasi,Judiciary,Bürokrasi konusunda yapılan reformlar geniş yankı uyandırdı.
Ekonomi politikası,Election,"Ekonomi politikası, günümüz siyasetinde bir dönüm noktasıdır."
Yerel yönetim,Party discipline,"Yerel yönetim perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Ulusal güvenlik,Local government,"Ulusal güvenlik, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Anayasa değişikliği,Bureaucracy,Anayasa değişikliği üzerine yoğun tartışmalar yaşanmaktadır.
Parlamento sistemi,Corruption,Parlamento sistemi kavramı modern siyaset biliminin temelini oluşturur.
Siyasi kriz,Corruption,Siyasi kriz üzerine yoğun tartışmalar yaşanmaktadır.
Parti disiplini,Judiciary,"Parti disiplini perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Ulusal çıkarlar,National security,Bir toplumun Ulusal çıkarlar ilkelerine bağlı olması önemlidir.
Kamuoyu,Parliament,Kamuoyu konusunda yapılan reformlar geniş yankı uyandırdı.
Devlet politikası,Political crisis,"Devlet politikası perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Sivil toplum,Political crisis,"Sivil toplum perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yolsuzluk,International relations,"Yolsuzluk, demokrasinin işleyişinde kritik bir rol oynar."
Çoğulculuk,Political crisis,Çoğulculuk kavramı modern siyaset biliminin temelini oluşturur.
Temsili demokrasi,Pluralism,Bir toplumun Temsili demokrasi ilkelerine bağlı olması önemlidir.
Egemenlik,Independence,"Egemenlik perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Bağımsızlık,Bureaucracy,"Bağımsızlık, demokrasinin işleyişinde kritik bir rol oynar."
Demokrasi,Human rights,"Demokrasi, demokrasinin işleyişinde kritik bir rol oynar."
Hukukun üstünlüğü,Independence,"Hukukun üstünlüğü, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
İnsan hakları,Pluralism,"İnsan hakları, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Anayasa,Constitution,"Anayasa, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Özgürlük,Economic policy,Özgürlük kavramı modern siyaset biliminin temelini oluşturur.
Siyaset,Democracy,Siyaset kavramı modern siyaset biliminin temelini oluşturur.
Diplomasi,Ruling party,Diplomasi üzerine yoğun tartışmalar yaşanmaktadır.
Uluslararası ilişkiler,Propaganda,"Uluslararası ilişkiler, demokrasinin işleyişinde kritik bir rol oynar."
Meclis,Judiciary,"Meclis perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Reform,Corruption,Reform konusunda yapılan reformlar geniş yankı uyandırdı.
Muhalefet,Civil society,"Muhalefet, demokrasinin işleyişinde kritik bir rol oynar."
İktidar,Bureaucracy,İktidar kavramı modern siyaset biliminin temelini oluşturur.
Seçim,Public opinion,Seçim kavramı modern siyaset biliminin temelini oluşturur.
Koalisyon,Party discipline,Bir toplumun Koalisyon ilkelerine bağlı olması önemlidir.
Halk egemenliği,Political crisis,"Halk egemenliği, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Yasama,Judiciary,Yasama konusunda yapılan reformlar geniş yankı uyandırdı.
Yürütme,Executive,Yürütme kavramı modern siyaset biliminin temelini oluşturur.
Yargı,Popular sovereignty,"Yargı, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Propaganda,Freedom,"Propaganda, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Bürokrasi,Independence,"Bürokrasi perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Ekonomi politikası,Popular sovereignty,"Ekonomi politikası, demokrasinin işleyişinde kritik bir rol oynar."
Yerel yönetim,Representative democracy,Yerel yönetim üzerine yoğun tartışmalar yaşanmaktadır.
Ulusal güvenlik,Public opinion,"Ulusal güvenlik, günümüz siyasetinde bir dönüm noktasıdır."
Anayasa değişikliği,Politics,Anayasa değişikliği konusunda yapılan reformlar geniş yankı uyandırdı.
Parlamento sistemi,Constitutional amendment,"Parlamento sistemi perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Siyasi kriz,Party discipline,"Siyasi kriz, demokrasinin işleyişinde kritik bir rol oynar."
Parti disiplini,Politics,Bir toplumun Parti disiplini ilkelerine bağlı olması önemlidir.
Ulusal çıkarlar,Politics,"Ulusal çıkarlar, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Kamuoyu,Political crisis,Kamuoyu konusunda yapılan reformlar geniş yankı uyandırdı.
Devlet politikası,Sovereignty,"Devlet politikası, demokrasinin işleyişinde kritik bir rol oynar."
Sivil toplum,Economic policy,"Sivil toplum, günümüz siyasetinde bir dönüm noktasıdır."
Yolsuzluk,Parliamentary system,"Yolsuzluk, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Çoğulculuk,Democracy,"Çoğulculuk, günümüz siyasetinde bir dönüm noktasıdır."
Temsili demokrasi,Political crisis,Bir toplumun Temsili demokrasi ilkelerine bağlı olması önemlidir.
Egemenlik,Economic policy,"Egemenlik, demokrasinin işleyişinde kritik bir rol oynar."
Bağımsızlık,Election,Bağımsızlık üzerine yoğun tartışmalar yaşanmaktadır.
Demokrasi,Executive,"Demokrasi perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Hukukun üstünlüğü,Political crisis,Bir toplumun Hukukun üstünlüğü ilkelerine bağlı olması önemlidir.
İnsan hakları,Party discipline,İnsan hakları üzerine yoğun tartışmalar yaşanmaktadır.
Anayasa,Sovereignty,"Anayasa, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Özgürlük,Human rights,Özgürlük üzerine yoğun tartışmalar yaşanmaktadır.
Siyaset,National interests,"Siyaset, demokrasinin işleyişinde kritik bir rol oynar."
Diplomasi,Representative democracy,Diplomasi kavramı modern siyaset biliminin temelini oluşturur.
Uluslararası ilişkiler,State policy,"Uluslararası ilişkiler, günümüz siyasetinde bir dönüm noktasıdır."
Meclis,Pluralism,Meclis kavramı modern siyaset biliminin temelini oluşturur.
Reform,Parliamentary system,"Reform, demokrasinin işleyişinde kritik bir rol oynar."
Muhalefet,Judiciary,Muhalefet üzerine yoğun tartışmalar yaşanmaktadır.
İktidar,Judiciary,"İktidar, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Seçim,Independence,"Seçim, demokrasinin işleyişinde kritik bir rol oynar."
Koalisyon,International relations,"Koalisyon, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Halk egemenliği,Bureaucracy,"Halk egemenliği, demokrasinin işleyişinde kritik bir rol oynar."
Yasama,Freedom,Yasama kavramı modern siyaset biliminin temelini oluşturur.
Yürütme,Legislation,Yürütme üzerine yoğun tartışmalar yaşanmaktadır.
Yargı,Reform,"Yargı perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Propaganda,Parliament,Propaganda konusunda yapılan reformlar geniş yankı uyandırdı.
Bürokrasi,Politics,"Bürokrasi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Ekonomi politikası,Parliamentary system,"Ekonomi politikası perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yerel yönetim,Party discipline,"Yerel yönetim, demokrasinin işleyişinde kritik bir rol oynar."
Ulusal güvenlik,Constitutional amendment,Ulusal güvenlik kavramı modern siyaset biliminin temelini oluşturur.
Anayasa değişikliği,Propaganda,Anayasa değişikliği üzerine yoğun tartışmalar yaşanmaktadır.
Parlamento sistemi,Propaganda,"Parlamento sistemi, günümüz siyasetinde bir dönüm noktasıdır."
Siyasi kriz,Public opinion,"Siyasi kriz, demokrasinin işleyişinde kritik bir rol oynar."
Parti disiplini,Constitutional amendment,"Parti disiplini, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Ulusal çıkarlar,Propaganda,"Ulusal çıkarlar perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Kamuoyu,Opposition,Kamuoyu konusunda yapılan reformlar geniş yankı uyandırdı.
Devlet politikası,Constitutional amendment,Devlet politikası kavramı modern siyaset biliminin temelini oluşturur.
Sivil toplum,Politics,Sivil toplum konusunda yapılan reformlar geniş yankı uyandırdı.
Yolsuzluk,Independence,Yolsuzluk üzerine yoğun tartışmalar yaşanmaktadır.
Çoğulculuk,Party discipline,"Çoğulculuk, günümüz siyasetinde bir dönüm noktasıdır."
Temsili demokrasi,Pluralism,Temsili demokrasi üzerine yoğun tartışmalar yaşanmaktadır.
Egemenlik,Bureaucracy,Bir toplumun Egemenlik ilkelerine bağlı olması önemlidir.
Bağımsızlık,Civil society,Bağımsızlık kavramı modern siyaset biliminin temelini oluşturur.
Demokrasi,Opposition,"Demokrasi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Hukukun üstünlüğü,Representative democracy,Hukukun üstünlüğü üzerine yoğun tartışmalar yaşanmaktadır.
İnsan hakları,Coalition,İnsan hakları üzerine yoğun tartışmalar yaşanmaktadır.
Anayasa,Ruling party,Anayasa kavramı modern siyaset biliminin temelini oluşturur.
Özgürlük,Freedom,"Özgürlük perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Siyaset,Rule of law,Bir toplumun Siyaset ilkelerine bağlı olması önemlidir.
Diplomasi,Constitutional amendment,"Diplomasi, demokrasinin işleyişinde kritik bir rol oynar."
Uluslararası ilişkiler,Political crisis,"Uluslararası ilişkiler, demokrasinin işleyişinde kritik bir rol oynar."
Meclis,Election,"Meclis perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Reform,National interests,"Reform, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Muhalefet,Rule of law,"Muhalefet perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
İktidar,Civil society,"İktidar, günümüz siyasetinde bir dönüm noktasıdır."
Seçim,Sovereignty,Seçim üzerine yoğun tartışmalar yaşanmaktadır.
Koalisyon,State policy,Koalisyon konusunda yapılan reformlar geniş yankı uyandırdı.
Halk egemenliği,International relations,"Halk egemenliği, demokrasinin işleyişinde kritik bir rol oynar."
Yasama,Democracy,Yasama üzerine yoğun tartışmalar yaşanmaktadır.
Yürütme,Reform,"Yürütme, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Yargı,Sovereignty,Bir toplumun Yargı ilkelerine bağlı olması önemlidir.
Propaganda,Parliamentary system,Propaganda konusunda yapılan reformlar geniş yankı uyandırdı.
Bürokrasi,Popular sovereignty,Bürokrasi üzerine yoğun tartışmalar yaşanmaktadır.
Ekonomi politikası,Reform,"Ekonomi politikası, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Yerel yönetim,Popular sovereignty,Yerel yönetim kavramı modern siyaset biliminin temelini oluşturur.
Ulusal güvenlik,Constitution,"Ulusal güvenlik perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Anayasa değişikliği,Parliament,"Anayasa değişikliği, demokrasinin işleyişinde kritik bir rol oynar."
Parlamento sistemi,Constitutional amendment,Parlamento sistemi üzerine yoğun tartışmalar yaşanmaktadır.
Siyasi kriz,Judiciary,"Siyasi kriz, günümüz siyasetinde bir dönüm noktasıdır."
Parti disiplini,Parliamentary system,Bir toplumun Parti disiplini ilkelerine bağlı olması önemlidir.
Ulusal çıkarlar,Parliament,"Ulusal çıkarlar, günümüz siyasetinde bir dönüm noktasıdır."
Kamuoyu,Constitutional amendment,Bir toplumun Kamuoyu ilkelerine bağlı olması önemlidir.
Devlet politikası,Diplomacy,"Devlet politikası, günümüz siyasetinde bir dönüm noktasıdır."
Sivil toplum,Constitution,"Sivil toplum, günümüz siyasetinde bir dönüm noktasıdır."
Yolsuzluk,Rule of law,"Yolsuzluk perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Çoğulculuk,Coalition,"Çoğulculuk, demokrasinin işleyişinde kritik bir rol oynar."
Temsili demokrasi,Reform,"Temsili demokrasi, günümüz siyasetinde bir dönüm noktasıdır."
Egemenlik,Independence,"Egemenlik, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Bağımsızlık,Rule of law,Bağımsızlık kavramı modern siyaset biliminin temelini oluşturur.
Demokrasi,Politics,"Demokrasi, günümüz siyasetinde bir dönüm noktasıdır."
Hukukun üstünlüğü,Politics,"Hukukun üstünlüğü perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
İnsan hakları,National interests,İnsan hakları konusunda yapılan reformlar geniş yankı uyandırdı.
Anayasa,Sovereignty,Anayasa konusunda yapılan reformlar geniş yankı uyandırdı.
Özgürlük,Party discipline,"Özgürlük perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Siyaset,Judiciary,Siyaset kavramı modern siyaset biliminin temelini oluşturur.
Diplomasi,National interests,Bir toplumun Diplomasi ilkelerine bağlı olması önemlidir.
Uluslararası ilişkiler,Representative democracy,"Uluslararası ilişkiler, günümüz siyasetinde bir dönüm noktasıdır."
Meclis,Political crisis,"Meclis perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Reform,Public opinion,Reform konusunda yapılan reformlar geniş yankı uyandırdı.
Muhalefet,Local government,"Muhalefet, demokrasinin işleyişinde kritik bir rol oynar."
İktidar,Executive,İktidar kavramı modern siyaset biliminin temelini oluşturur.
Seçim,Opposition,"Seçim, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Koalisyon,Coalition,"Koalisyon perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Halk egemenliği,International relations,"Halk egemenliği perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yasama,Politics,Bir toplumun Yasama ilkelerine bağlı olması önemlidir.
Yürütme,Executive,"Yürütme, demokrasinin işleyişinde kritik bir rol oynar."
Yargı,Human rights,Yargı konusunda yapılan reformlar geniş yankı uyandırdı.
Propaganda,Popular sovereignty,"Propaganda perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Bürokrasi,Freedom,"Bürokrasi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Ekonomi politikası,Civil society,Ekonomi politikası üzerine yoğun tartışmalar yaşanmaktadır.
Yerel yönetim,Representative democracy,Bir toplumun Yerel yönetim ilkelerine bağlı olması önemlidir.
Ulusal güvenlik,Ruling party,Ulusal güvenlik kavramı modern siyaset biliminin temelini oluşturur.
Anayasa değişikliği,Coalition,"Anayasa değişikliği, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Parlamento sistemi,Legislation,"Parlamento sistemi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Siyasi kriz,Executive,"Siyasi kriz perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Parti disiplini,International relations,"Parti disiplini, demokrasinin işleyişinde kritik bir rol oynar."
Ulusal çıkarlar,Pluralism,"Ulusal çıkarlar, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Kamuoyu,State policy,Kamuoyu kavramı modern siyaset biliminin temelini oluşturur.
Devlet politikası,Bureaucracy,"Devlet politikası, demokrasinin işleyişinde kritik bir rol oynar."
Sivil toplum,Public opinion,Sivil toplum kavramı modern siyaset biliminin temelini oluşturur.
Yolsuzluk,Independence,Yolsuzluk kavramı modern siyaset biliminin temelini oluşturur.
Çoğulculuk,Legislation,Çoğulculuk kavramı modern siyaset biliminin temelini oluşturur.
Temsili demokrasi,Constitution,"Temsili demokrasi perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Egemenlik,Rule of law,"Egemenlik, demokrasinin işleyişinde kritik bir rol oynar."
Bağımsızlık,Legislation,"Bağımsızlık, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Demokrasi,Reform,"Demokrasi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Hukukun üstünlüğü,Popular sovereignty,Hukukun üstünlüğü üzerine yoğun tartışmalar yaşanmaktadır.
İnsan hakları,Pluralism,"İnsan hakları perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Anayasa,International relations,Anayasa üzerine yoğun tartışmalar yaşanmaktadır.
Özgürlük,Political crisis,Özgürlük üzerine yoğun tartışmalar yaşanmaktadır.
Siyaset,Civil society,Siyaset üzerine yoğun tartışmalar yaşanmaktadır.
Diplomasi,Constitutional amendment,Diplomasi konusunda yapılan reformlar geniş yankı uyandırdı.
Uluslararası ilişkiler,Politics,Bir toplumun Uluslararası ilişkiler ilkelerine bağlı olması önemlidir.
Meclis,Judiciary,Meclis üzerine yoğun tartışmalar yaşanmaktadır.
Reform,Politics,"Reform, demokrasinin işleyişinde kritik bir rol oynar."
Muhalefet,Politics,"Muhalefet, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
İktidar,Election,İktidar konusunda yapılan reformlar geniş yankı uyandırdı.
Seçim,Public opinion,Bir toplumun Seçim ilkelerine bağlı olması önemlidir.
Koalisyon,Representative democracy,"Koalisyon perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Halk egemenliği,Executive,Bir toplumun Halk egemenliği ilkelerine bağlı olması önemlidir.
Yasama,Judiciary,Bir toplumun Yasama ilkelerine bağlı olması önemlidir.
Yürütme,Civil society,"Yürütme, demokrasinin işleyişinde kritik bir rol oynar."
Yargı,Political crisis,Yargı üzerine yoğun tartışmalar yaşanmaktadır.
Propaganda,Propaganda,Propaganda üzerine yoğun tartışmalar yaşanmaktadır.
Bürokrasi,Diplomacy,"Bürokrasi, demokrasinin işleyişinde kritik bir rol oynar."
Ekonomi politikası,Legislation,"Ekonomi politikası perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yerel yönetim,Freedom,Yerel yönetim kavramı modern siyaset biliminin temelini oluşturur.
Ulusal güvenlik,Diplomacy,Bir toplumun Ulusal güvenlik ilkelerine bağlı olması önemlidir.
Anayasa değişikliği,Independence,Bir toplumun Anayasa değişikliği ilkelerine bağlı olması önemlidir.
Parlamento sistemi,Human rights,Parlamento sistemi kavramı modern siyaset biliminin temelini oluşturur.
Siyasi kriz,Ruling party,Bir toplumun Siyasi kriz ilkelerine bağlı olması önemlidir.
Parti disiplini,Reform,"Parti disiplini, günümüz siyasetinde bir dönüm noktasıdır."
Ulusal çıkarlar,International relations,Ulusal çıkarlar kavramı modern siyaset biliminin temelini oluşturur.
Kamuoyu,Coalition,Kamuoyu kavramı modern siyaset biliminin temelini oluşturur.
Devlet politikası,Election,"Devlet politikası, demokrasinin işleyişinde kritik bir rol oynar."
Sivil toplum,State policy,Sivil toplum kavramı modern siyaset biliminin temelini oluşturur.
Yolsuzluk,Constitutional amendment,Yolsuzluk üzerine yoğun tartışmalar yaşanmaktadır.
Çoğulculuk,Civil society,Çoğulculuk kavramı modern siyaset biliminin temelini oluşturur.
Temsili demokrasi,Representative democracy,"Temsili demokrasi, günümüz siyasetinde bir dönüm noktasıdır."
Egemenlik,Local government,"Egemenlik, günümüz siyasetinde bir dönüm noktasıdır."
Bağımsızlık,Party discipline,Bağımsızlık kavramı modern siyaset biliminin temelini oluşturur.
Demokrasi,Legislation,Bir toplumun Demokrasi ilkelerine bağlı olması önemlidir.
Hukukun üstünlüğü,Civil society,Hukukun üstünlüğü üzerine yoğun tartışmalar yaşanmaktadır.
İnsan hakları,National interests,İnsan hakları kavramı modern siyaset biliminin temelini oluşturur.
Anayasa,Election,"Anayasa, demokrasinin işleyişinde kritik bir rol oynar."
Özgürlük,Opposition,Özgürlük üzerine yoğun tartışmalar yaşanmaktadır.
Siyaset,Independence,"Siyaset perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Diplomasi,National interests,Diplomasi kavramı modern siyaset biliminin temelini oluşturur.
Uluslararası ilişkiler,Party discipline,Uluslararası ilişkiler konusunda yapılan reformlar geniş yankı uyandırdı.
Meclis,Corruption,Meclis konusunda yapılan reformlar geniş yankı uyandırdı.
Reform,Diplomacy,"Reform perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Muhalefet,Popular sovereignty,"Muhalefet, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
İktidar,Representative democracy,"İktidar, günümüz siyasetinde bir dönüm noktasıdır."
Seçim,International relations,"Seçim perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Koalisyon,Sovereignty,"Koalisyon perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Halk egemenliği,State policy,"Halk egemenliği, günümüz siyasetinde bir dönüm noktasıdır."
Yasama,Corruption,Yasama kavramı modern siyaset biliminin temelini oluşturur.
Yürütme,Opposition,"Yürütme perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yargı,State policy,"Yargı, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
